sram_size_mb,dram_bandwidth,sram_bandwidth,tokens_per_second,per_layer_time_ms,per_forward_time_ms,total_cycles,success
4.0,32,64,99.12327446203817,0.017514666666666668,40.353792,1681408.0,True
4.0,32,128,99.12327446203817,0.017514666666666668,40.353792,1681408.0,True
4.0,32,256,99.12327446203817,0.017514666666666668,40.353792,1681408.0,True
4.0,64,16,47.81445848021936,0.03630933333333333,83.65670399999999,3485696.0,True
4.0,64,32,95.62891696043872,0.018154666666666666,41.828351999999995,1742848.0,True
4.0,64,64,138.99267008255052,0.012490666666666669,28.778496000000004,1199104.0,True
4.0,64,128,142.64716622845458,0.012170666666666665,28.041216,1168384.0,True
4.0,64,256,142.64716622845458,0.012170666666666665,28.041216,1168384.0,True
4.0,128,16,47.81445848021936,0.03630933333333333,83.65670399999999,3485696.0,True
4.0,128,32,95.62891696043872,0.018154666666666666,41.828351999999995,1742848.0,True
4.0,128,64,138.99267008255052,0.012490666666666669,28.778496000000004,1199104.0,True
4.0,128,128,148.5040298053528,0.011690666666666667,26.935296,1122304.0,True
4.0,128,256,148.5040298053528,0.011690666666666667,26.935296,1122304.0,True
8.0,8,16,24.780818615509542,0.07005866666666667,161.415168,6725632.0,True
8.0,8,32,24.780818615509542,0.07005866666666667,161.415168,6725632.0,True
8.0,8,64,24.780818615509542,0.07005866666666667,161.415168,6725632.0,True
8.0,8,128,24.780818615509542,0.07005866666666667,161.415168,6725632.0,True
8.0,8,256,24.780818615509542,0.07005866666666667,161.415168,6725632.0,True
8.0,16,16,48.847664065626255,0.035541333333333334,81.887232,3411968.0,True
8.0,16,32,49.561637231019084,0.035029333333333336,80.707584,3362816.0,True
8.0,16,64,49.561637231019084,0.035029333333333336,80.707584,3362816.0,True
8.0,16,128,49.561637231019084,0.035029333333333336,80.707584,3362816.0,True
8.0,16,256,49.561637231019084,0.035029333333333336,80.707584,3362816.0,True
8.0,32,16,48.847664065626255,0.035541333333333334,81.887232,3411968.0,True
8.0,32,32,97.69532813125251,0.017770666666666667,40.943616,1705984.0,True
8.0,32,64,99.12327446203817,0.017514666666666668,40.353792,1681408.0,True
8.0,32,128,99.12327446203817,0.017514666666666668,40.353792,1681408.0,True
8.0,32,256,99.12327446203817,0.017514666666666668,40.353792,1681408.0,True
8.0,64,16,48.847664065626255,0.035541333333333334,81.887232,3411968.0,True
8.0,64,32,97.69532813125251,0.017770666666666667,40.943616,1705984.0,True
8.0,64,64,141.16254697889565,0.012298666666666666,28.336128,1180672.0,True
8.0,64,128,142.64716622845458,0.012170666666666665,28.041216,1168384.0,True
8.0,64,256,142.64716622845458,0.012170666666666665,28.041216,1168384.0,True
8.0,128,16,48.847664065626255,0.035541333333333334,81.887232,3411968.0,True
8.0,128,32,97.69532813125251,0.017770666666666667,40.943616,1705984.0,True
8.0,128,64,141.16254697889565,0.012298666666666666,28.336128,1180672.0,True
8.0,128,128,148.5040298053528,0.011690666666666667,26.935296,1122304.0,True
8.0,128,256,148.5040298053528,0.011690666666666667,26.935296,1122304.0,True
